Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
0,000	-0,15	0,010	0,000	-0,06	8,723E-4	0,000	-0,24	9,185E-4	0,000	0,03	8,579E-4	0,000	0,09	8,615E-4	0,000	0,07	9,569E-4	0,000	0,08	9,594E-4	0,000	0,07	9,026E-4	0,000	0,07	8,561E-4
0,025	-0,18	-0,009	0,100	-0,05	8,817E-4	0,100	-0,24	9,058E-4	0,100	0,01	8,700E-4	0,100	0,06	8,707E-4	0,100	0,07	9,567E-4	0,100	0,06	9,529E-4	0,100	0,07	8,766E-4	0,100	0,07	8,740E-4
0,050	-0,10	0,010	0,200	-0,06	8,696E-4	0,200	-0,24	9,336E-4	0,200	-0,03	8,788E-4	0,200	0,06	8,540E-4	0,200	0,07	9,323E-4	0,200	0,06	9,084E-4	0,200	0,06	8,717E-4	0,200	0,07	8,494E-4
0,075	-0,16	-0,009	0,300	-0,04	8,993E-4	0,300	-0,24	9,464E-4	0,300	0,03	8,448E-4	0,300	0,06	8,450E-4	0,300	0,07	9,504E-4	0,300	0,07	9,407E-4	0,300	0,08	8,885E-4	0,300	0,07	8,900E-4
0,100	-0,16	0,010	0,400	-0,05	8,353E-4	0,400	-0,24	8,906E-4	0,400	0,02	8,396E-4	0,400	0,08	8,882E-4	0,400	0,07	9,390E-4	0,400	0,07	9,363E-4	0,400	0,05	8,966E-4	0,400	0,07	8,750E-4
0,125	-0,09	-0,009	0,500	-0,06	8,615E-4	0,500	-0,24	9,207E-4	0,500	0,07	9,093E-4	0,500	0,06	8,970E-4	0,500	0,07	0,001	0,500	0,06	9,984E-4	0,500	0,08	8,962E-4	0,500	0,07	9,388E-4
0,150	-0,14	0,011	0,600	-0,06	8,737E-4	0,600	-0,24	9,207E-4	0,600	-0,06	8,313E-4	0,600	0,05	8,441E-4	0,600	0,07	0,001	0,600	0,08	9,473E-4	0,600	0,07	8,704E-4	0,600	0,07	8,875E-4
0,175	-0,13	-0,009	0,700	-0,03	8,595E-4	0,700	-0,24	9,143E-4	0,700	-0,07	8,608E-4	0,700	0,08	8,158E-4	0,700	0,07	9,962E-4	0,700	0,06	9,515E-4	0,700	0,08	8,850E-4	0,700	0,07	9,027E-4
0,200	-0,09	0,010	0,800	-0,07	8,298E-4	0,800	-0,24	9,248E-4	0,800	0,01	8,512E-4	0,800	0,07	8,796E-4	0,800	0,07	9,821E-4	0,800	0,07	0,001	0,800	0,05	8,905E-4	0,800	0,07	8,540E-4
0,225	-0,16	-0,009	0,900	-0,05	8,589E-4	0,900	-0,24	9,039E-4	0,900	-0,06	8,699E-4	0,900	0,06	8,999E-4	0,900	0,07	9,958E-4	0,900	0,07	9,741E-4	0,900	0,08	8,929E-4	0,900	0,07	8,668E-4
0,250	-0,12	0,010	1,000	-0,05	8,505E-4	1,000	-0,24	9,437E-4	1,000	-0,02	8,812E-4	1,000	0,06	8,495E-4	1,000	0,07	9,523E-4	1,000	0,07	9,907E-4	1,000	0,08	8,663E-4	1,000	0,07	9,290E-4
0,275	-0,13	-0,009	1,100	-0,05	8,508E-4	1,100	-0,24	9,086E-4	1,100	-0,04	8,550E-4	1,100	0,08	8,801E-4	1,100	0,07	9,814E-4	1,100	0,07	9,949E-4	1,100	0,07	8,512E-4	1,100	0,07	9,122E-4
0,300	-0,26	0,010	1,200	-0,05	8,756E-4	1,200	-0,24	8,700E-4	1,200	-0,05	8,615E-4	1,200	0,06	8,925E-4	1,200	0,07	9,609E-4	1,200	0,07	9,424E-4	1,200	0,06	8,966E-4	1,200	0,07	9,010E-4
0,325	-0,20	-0,009	1,300	-0,06	8,662E-4	1,300	-0,24	8,845E-4	1,300	0,00	8,354E-4	1,300	0,06	8,617E-4	1,300	0,07	9,829E-4	1,300	0,06	9,922E-4	1,300	0,07	8,683E-4	1,300	0,02	8,467E-4
0,350	-0,14	0,011	1,400	-0,05	8,489E-4	1,400	-0,24	9,269E-4	1,400	0,03	8,557E-4	1,400	0,07	8,588E-4	1,400	0,06	9,545E-4	1,400	0,07	9,493E-4	1,400	0,07	8,719E-4	1,400	0,06	8,929E-4
0,375	-0,15	-0,009	1,500	-0,05	8,427E-4	1,500	-0,24	9,209E-4	1,500	0,05	8,735E-4	1,500	0,08	8,970E-4	1,500	0,07	9,821E-4	1,500	0,07	9,559E-4	1,500	0,07	8,864E-4	1,500	0,03	9,252E-4
0,400	-0,06	0,011	1,600	-0,05	8,358E-4	1,600	-0,24	9,308E-4	1,600	0,04	9,031E-4	1,600	0,06	8,864E-4	1,600	0,07	9,716E-4	1,600	0,07	9,581E-4	1,600	0,07	8,564E-4	1,600	0,06	8,641E-4
0,425	-0,12	-0,010	1,700	-0,06	8,440E-4	1,700	-0,24	8,932E-4	1,700	0,05	8,638E-4	1,700	0,06	8,976E-4	1,700	0,06	9,413E-4	1,700	0,07	9,662E-4	1,700	0,07	8,785E-4	1,700	0,07	9,148E-4
0,450	-0,20	0,011	1,800	-0,05	8,403E-4	1,800	-0,24	9,393E-4	1,800	0,06	8,688E-4	1,800	0,07	9,404E-4	1,800	0,07	9,427E-4	1,800	0,06	9,554E-4	1,800	0,07	8,773E-4	1,800	0,05	8,822E-4
0,475	-0,19	0,050	1,900	-0,05	8,715E-4	1,900	-0,24	8,868E-4	1,900	0,06	8,683E-4	1,900	0,02	8,744E-4	1,900	0,06	9,236E-4	1,900	0,06	9,521E-4	1,900	0,06	8,566E-4	1,900	0,06	8,672E-4
0,500	-0,23	0,022	2,000	-0,05	8,457E-4	2,000	-0,24	9,110E-4	2,000	0,02	8,494E-4	2,000	0,04	9,137E-4	2,000	0,06	9,181E-4	2,000	0,07	9,563E-4	2,000	0,07	8,516E-4	2,000	0,07	8,992E-4
0,525	-0,18	-0,009	2,100	-0,06	8,721E-4	2,100	-0,24	9,449E-4	2,100	0,01	8,610E-4	2,100	0,04	8,892E-4	2,100	0,07	9,130E-4	2,100	0,05	9,888E-4	2,100	0,07	8,750E-4	2,100	0,06	9,209E-4
0,550	-0,15	0,034	2,200	-0,05	8,546E-4	2,200	-0,24	9,017E-4	2,200	0,06	8,892E-4	2,200	0,04	8,765E-4	2,200	0,07	9,362E-4	2,200	0,08	0,001	2,200	0,06	8,691E-4	2,200	0,06	8,925E-4
0,575	-0,28	-0,006	2,300	-0,05	8,678E-4	2,300	-0,24	9,144E-4	2,300	0,04	8,773E-4	2,300	0,00	8,662E-4	2,300	0,07	8,881E-4	2,300	0,06	9,462E-4	2,300	0,04	8,806E-4	2,300	0,09	9,131E-4
0,600	-0,32	0,023	2,400	-0,05	8,405E-4	2,400	-0,24	9,294E-4	2,400	0,05	8,630E-4	2,400	0,03	8,516E-4	2,400	0,06	9,192E-4	2,400	0,07	8,756E-4	2,400	-0,02	8,816E-4	2,400	0,07	8,904E-4
0,625	-0,33	-0,012	2,500	-0,05	8,766E-4	2,500	-0,24	8,667E-4	2,500	0,05	8,451E-4	2,500	0,08	8,462E-4	2,500	0,07	9,008E-4	2,500	0,07	9,126E-4	2,500	0,06	8,739E-4	2,500	0,07	8,922E-4
0,650	-0,28	0,023	2,600	-0,06	8,702E-4	2,600	-0,24	9,062E-4	2,600	0,06	8,663E-4	2,600	0,07	8,885E-4	2,600	0,06	8,948E-4	2,600	0,07	9,319E-4	2,600	0,07	8,875E-4	2,600	0,06	9,141E-4
0,675	-0,17	-0,013	2,700	-0,05	8,987E-4	2,700	-0,24	9,666E-4	2,700	0,04	8,768E-4	2,700	0,06	8,634E-4	2,700	0,06	9,252E-4	2,700	0,07	9,327E-4	2,700	0,05	8,639E-4	2,700	0,08	9,092E-4
0,700	-0,23	0,023	2,800	-0,05	8,961E-4	2,800	-0,24	9,053E-4	2,800	0,05	8,447E-4	2,800	0,07	8,586E-4	2,800	0,05	9,269E-4	2,800	0,07	9,675E-4	2,800	0,06	8,654E-4	2,800	0,06	8,792E-4
0,725	-0,28	-0,017	2,900	-0,06	8,793E-4	2,900	-0,24	8,737E-4	2,900	0,05	8,317E-4	2,900	0,07	8,829E-4	2,900	0,05	9,169E-4	2,900	0,07	9,783E-4	2,900	-0,05	8,860E-4	2,900	0,06	8,898E-4
0,750	-0,14	0,015	3,000	-0,05	8,684E-4	3,000	-0,25	8,881E-4	3,000	0,02	8,700E-4	3,000	0,06	8,639E-4	3,000	0,07	8,810E-4	3,000	0,06	9,828E-4	3,000	-0,13	8,003E-4	3,000	0,07	9,207E-4
0,775	-0,18	-0,009	3,100	-0,11	9,253E-4	3,100	-0,24	9,443E-4	3,100	0,06	8,999E-4	3,100	0,02	8,649E-4	3,100	0,07	9,257E-4	3,100	0,07	9,769E-4	3,100	-0,13	7,727E-4	3,100	0,07	9,182E-4
0,800	-0,13	0,010	3,200	-0,12	9,119E-4	3,200	-0,24	8,840E-4	3,200	0,05	8,710E-4	3,200	-0,07	8,954E-4	3,200	0,04	8,768E-4	3,200	0,06	9,559E-4	3,200	-0,13	4,312E-4	3,200	0,07	9,370E-4
0,825	-0,07	-0,017	3,300	-0,19	8,639E-4	3,300	-0,24	8,667E-4	3,300	0,06	8,636E-4	3,300	-0,02	9,037E-4	3,300	-0,11	8,765E-4	3,300	0,08	9,419E-4	3,300	-0,12	-0,001	3,300	0,07	9,106E-4
0,850	-0,30	0,017	3,400	-0,16	8,907E-4	3,400	-0,24	9,454E-4	3,400	0,05	8,721E-4	3,400	-0,03	9,181E-4	3,400	-0,12	9,332E-4	3,400	0,06	9,462E-4	3,400	-0,11	-0,002	3,400	0,07	9,165E-4
0,875	-0,45	-0,024	3,500	-0,12	9,004E-4	3,500	-0,24	9,108E-4	3,500	0,05	8,645E-4	3,500	-0,09	9,392E-4	3,500	-0,13	9,786E-4	3,500	0,07	9,849E-4	3,500	-0,15	0,004	3,500	0,07	8,912E-4
0,900	-0,36	0,020	3,600	-0,29	8,949E-4	3,600	-0,24	9,659E-4	3,600	0,05	8,529E-4	3,600	-0,12	9,141E-4	3,600	-0,12	0,001	3,600	0,07	9,597E-4	3,600	-0,11	0,003	3,600	0,07	9,142E-4
0,925	-0,27	-0,022	3,700	-0,28	8,921E-4	3,700	-0,24	9,579E-4	3,700	0,06	8,864E-4	3,700	-0,15	9,098E-4	3,700	-0,13	0,001	3,700	0,06	9,752E-4	3,700	-0,12	0,001	3,700	0,07	9,594E-4
0,950	-0,23	0,023	3,800	-0,30	8,716E-4	3,800	-0,24	9,149E-4	3,800	0,05	8,949E-4	3,800	-0,06	9,146E-4	3,800	-0,11	0,001	3,800	0,07	9,980E-4	3,800	-0,11	9,012E-4	3,800	0,07	9,032E-4
0,975	-0,31	-0,014	3,900	-0,35	8,787E-4	3,900	-0,24	8,960E-4	3,900	0,04	8,577E-4	3,900	0,11	9,010E-4	3,900	-0,13	0,001	3,900	-0,01	9,423E-4	3,900	-0,14	7,322E-4	3,900	0,07	9,185E-4
1,000	-0,19	0,030	4,000	-0,42	9,058E-4	4,000	-0,24	9,458E-4	4,000	0,04	8,713E-4	4,000	0,06	8,695E-4	4,000	-0,12	0,002	4,000	0,19	9,108E-4	4,000	-0,14	2,310E-4	4,000	0,07	9,259E-4
1,025	-0,24	-0,015	4,100	-0,30	8,923E-4	4,100	-0,25	9,692E-4	4,100	0,04	8,796E-4	4,100	0,07	9,000E-4	4,100	-0,12	0,003	4,100	-0,01	9,501E-4	4,100	-0,13	-0,001	4,100	0,07	9,150E-4
1,050	-0,35	0,024	4,200	-0,25	8,682E-4	4,200	-0,24	9,281E-4	4,200	0,05	8,596E-4	4,200	-0,03	8,904E-4	4,200	-0,12	0,006	4,200	0,17	9,437E-4	4,200	-0,12	-0,005	4,200	0,07	9,642E-4
1,075	-0,16	-0,022	4,300	-0,25	8,260E-4	4,300	-0,24	9,265E-4	4,300	0,04	9,086E-4	4,300	-0,09	8,427E-4	4,300	-0,12	0,003	4,300	0,02	9,381E-4	4,300	-0,13	0,002	4,300	0,07	9,664E-4
1,100	-0,14	0,023	4,400	-0,23	7,810E-4	4,400	-0,24	9,148E-4	4,400	0,02	8,539E-4	4,400	-0,25	8,921E-4	4,400	-0,12	-0,005	4,400	0,00	9,330E-4	4,400	-0,11	0,006	4,400	0,07	9,823E-4
1,125	-0,28	-0,025	4,500	-0,24	7,322E-4	4,500	-0,25	8,972E-4	4,500	-0,02	8,483E-4	4,500	-0,27	8,851E-4	4,500	-0,12	-0,002	4,500	0,12	9,546E-4	4,500	-0,12	0,003	4,500	0,07	9,702E-4
1,150	-0,31	0,021	4,600	-0,24	6,481E-4	4,600	-0,23	9,203E-4	4,600	-0,01	8,873E-4	4,600	-0,21	9,344E-4	4,600	-0,12	-3,445E-4	4,600	0,14	9,641E-4	4,600	-0,13	0,001	4,600	0,07	9,492E-4
1,175	-0,25	-0,030	4,700	-0,24	3,262E-4	4,700	-0,24	9,091E-4	4,700	0,04	8,698E-4	4,700	-0,20	9,630E-4	4,700	-0,12	4,354E-4	4,700	-0,05	9,662E-4	4,700	-0,12	9,552E-4	4,700	0,07	9,557E-4
1,200	-0,15	0,021	4,800	-0,23	-5,339E-4	4,800	-0,24	9,006E-4	4,800	0,04	8,690E-4	4,800	-0,23	9,988E-4	4,800	-0,12	7,133E-4	4,800	0,07	8,680E-4	4,800	-0,11	7,683E-4	4,800	0,08	9,360E-4
